idwine	name	link	thumb	average_rating	ratings	price	tasteKeywords_1	tasteMentions_1	flavorGroup_1	tasteKeywords_2	tasteMentions_2	flavorGroup_2	tasteKeywords_3	tasteMentions_3	flavorGroup_3	tasteKeywords_4	tasteMentions_4	flavorGroup_4	moyenne_price	tasteKeywords_5	tasteMentions_5	flavorGroup_5	tasteKeywords_6	tasteMentions_6	flavorGroup_6	tasteKeywords_7	tasteMentions_7	flavorGroup_7	tasteKeywords_8	tasteMentions_8	flavorGroup_8	tasteKeywords_9	tasteMentions_9	flavorGroup_9	tasteKeywords_10	tasteMentions_10	flavorGroup_10
111509	Domaine Faiveley Pinot Noir Bourgogne	https://www.vivino.com/US-VA/fr/wines/1498139	https://images.vivino.com/thumbs/Nr_QHTdjR2Gg7jEaaybNng_pb_300x300.png	3,7		45,99	cerise, framboise, frai...	1595	fruit rouge	Terreux, cuir, champign...	820	Terreux																									
111508	Château Rauzan-Ségla Margaux (Grand Cru Classé)	https://www.vivino.com/CA/fr/wines/1491992	https://images.vivino.com/thumbs/Gb2ViEV1Sy6_7YsmFM9iSw_pb_300x300.png	4,3		169,99	chêne, tabac, cèdre	1864	boisé	cassis, mûre, cassis	1700	fruit noir	cuir, Terreux, fumée	1365	Terreux																						
111514	Château Pichon Longueville Comtesse de Lalande Réserve (de la Comtesse) Pauillac	https://www.vivino.com/CA/fr/wines/1851312	https://images.vivino.com/thumbs/8GOQAjMSTxm0So0G-URPXw_pb_300x300.png	4,1			chêne, tabac, vanille	1790	boisé	cassis, mûre, fruit noi...	1587	fruit noir	cuir, Terreux, graphite	1092	Terreux				67,53																		
111517	Château Mont-Redon Vignoble Abeille Châteauneuf-du-Pape	https://www.vivino.com/GB/fr/wines/22350816	https://images.vivino.com/thumbs/ac96UiSRT0C8ZUmY1A-Lbw_pb_300x300.png	4,2			chêne, vanille, tabac	1131	boisé	cuir, Terreux, fumée	778	Terreux	cerise, framboise, frui...	702	fruit rouge				27,52																		
111516	Château La Lagune Haut-Médoc (3éme Grand Cru Classé en 1855)	https://www.vivino.com/US-NY/fr/wines/1994560	https://images.vivino.com/thumbs/c0SRyjlgQuiMHQxL2PgwqA_pb_300x300.png	4,2		60	tabac, chêne, chocolat	1119	boisé	cassis, mûre, cassis	1014	fruit noir	cuir, Terreux, fumée	947	Terreux																						
111511	Château Clerc Milon Pauillac (Grand Cru Classé)	https://www.vivino.com/US-NY/fr/wines/1496040	https://images.vivino.com/thumbs/EXWfBa0WQJyv7rwSGDh-xQ_pb_300x300.png	4,2		125,47	chêne, tabac, cèdre	1667	boisé	mûre, cassis, cassis	1516	fruit noir	cuir, Terreux, fumée	1288	Terreux																						
111512	Château Poujeaux Moulis-en-Médoc	https://www.vivino.com/US-NY/fr/wines/2371181	https://images.vivino.com/thumbs/NH7nJ_fkShSeDyBXmdoGHw_pb_300x300.png	4		40,99	mûre, cassis, cassis	1164	fruit noir	chêne, tabac, cèdre	1142	boisé	cuir, Terreux, fumée	852	Terreux																						
111518	Louis Jadot Beaujolais-Villages Combe aux Jacques	https://www.vivino.com/wines/1469051	https://images.vivino.com/thumbs/QbvQLy6HRm6d0NYsY7UvSg_pb_300x300.png	3,7			fraise, cerise, framboi...	1993	fruit rouge										13,42																		
111519	Pol Roger Sir Winston Churchill Brut Champagne	https://www.vivino.com/wines/2750334	https://images.vivino.com/thumbs/HlLhUWbyTfupk59rOtNM-g_pb_300x300.png	4,6			brioche, pain grillé, a...	1325	Vieillissement	pomme, pomme verte, abr...	988	fruit d'arbre fruitier	agrume, citron, pamplem...	818	agrume	miel, minéraux, noyau	739	Terreux	209,84																		
111513	Domaine Marcel Lapierre Morgon	https://www.vivino.com/US-VA/fr/wines/1942378	https://images.vivino.com/thumbs/52QQCh_mTeqHcqbgTPcDMw_pb_300x300.png	4,1		44,09	cerise, fraise, framboi...	2308	fruit rouge																												
